"Group","Snook0_12","Snook3_12","Snook12_48","Snook48_90","Snook90_","RedDrum0_3","RedDrum3_8","RedDrum8_18","RedDrum18_36","RedDrum36_","SeaTrout0_3","SeaTrout3_18","SeaTrout18_","SandTrout0_3","SandTrout3_12","SandTrout12_","Mullet0_6","Mullet6_18","Mullet18_","Mackrel0_3","Mackrel3_","Ladyfish0_10","Ladyfish10_","Jacks","BayAnchovy","PinFish","Spot","SilverPerch","ScaledSardine","Mojarra","ThreadfinHerring","Manhaden","Menidia_silverside_","Catfish","Bumper","CaridanShrimp","Shrimp","StoneCrab","BlueCrab","Cyprinodontids","Poecilids","Pigfish","Gobies","Rays","BenthicInvertebrates","MacroZooplankton","MicroZoolplankton","Infauna","AttachedMicroalgae","SeaGrass","Phytoplankton"
"Snook0_12",0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snook3_12",0,0,0,0.0020002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snook12_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snook48_90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snook90_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum0_3",0,0,9.9989e-06,0.00010001,0,0,0,0,0.0010001,0,0,0,0.00010001,0,0,9.999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum3_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum8_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum18_36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RedDrum36_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SeaTrout0_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050005,0,0,0,0,0,0,0,0,0
"SeaTrout3_18",0,0,0,0.024802,0.0018447,0,0,0,0,0,0,0,0.0030003,0,0,0,0,0,0,0,0.001422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SeaTrout18_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SandTrout0_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SandTrout3_12",0,0,0,0,0.0083495,0,0,0,0,0,0,0,0,0,0,0.0039996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SandTrout12_",0,0,0,0,0.0036893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mullet0_6",0,0.005,0.0009999,0.0020002,0.046214,0,0,0.006,0.0060006,0.0032997,0,0,0.12001,0,0,0,0,0,0,0.00096504,0,0,0.0010199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mullet6_18",0,0,0,0,0.0083495,0,0,0.013,0.011001,0.045795,0,0,0.0010001,0,0,0,0,0,0,0,0.00010157,0,0,0,0,0,0,0,0,0,0,0,0,9.999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mullet18_",0,0,0,0,0.037961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010157,0,0,0,0,0,0,0,0,0,0,0,0,9.9989e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mackrel0_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mackrel3_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ladyfish0_10",0,0,0.0009999,0,0.029126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ladyfish10_",0,0,0,0,0.0036893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076689,0,0,0.0040004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BayAnchovy",0,0,0.0009999,0.09911,0.19252,0,0,0.019,0.056906,0.040296,0,0.0498,0.15622,0,0.42644,0.43036,0,0,0,0.16685,0.43748,0.1,0.24895,0.37554,0,0,0,0.053095,0,0,0,0,0,0.17818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PinFish",0,0.005,0.050095,0.22802,0.019417,0,0,0.006,0.028003,0.023198,0,0,0.10111,0,0,0.0019998,0,0,0,0.00096504,0.0026409,0,0,0.19022,0,0,0,0.017998,0,0,0,0,0,0.0009999,0,0,0,0,0,0,0,0.12271,0,0,0,0,0,0,0,0,0
"Spot",0,0,0.019998,0.030703,0.0036893,0,0,0.032,0.028003,0.015998,0,0,0.0080008,0,0.010001,0.049995,0,0,0,0.0020373,0.22224,0,0.0020398,0.076108,0,0,0,0.0019998,0,0,0,0,0,0.0019998,0,0,0,0,0,0,0,0.12271,0,0,0,0,0,0,0,0,0
"SilverPerch",0,0,0.0049995,0.030703,0.044369,0,0,0.1289,0.0060006,0.0054995,0,0.0498,0.030003,0,0.0050005,0.12889,0,0,0,0.0020373,0.11498,0,0.0010199,0.038004,0,0,0,0.0019998,0,0,0,0,0,0.0019998,0,0,0,0,0,0,0,0.072107,0,0,0,0,0,0,0,0,0
"ScaledSardine",0,0,0.0009999,0.09911,0.0036893,0,0,0,0,0,0,0.0498,0,0,0.0050005,0.086891,0,0,0,0.0020373,0.044896,0,0.0029577,0.038004,0,0,0,0.017998,0,0,0,0,0,0.014998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mojarra",0,0.01,0.10309,0.030703,0.0036893,0,0.013,0.0649,0.028003,0.0016998,0,0,0.0010001,0,0.0050005,0.023998,0,0,0,0.0020373,0.001422,0.0010277,0.013972,0.038004,0,0,0,0.017998,0,0,0,0,0,0.0009999,0,0,0,0,0,0,0,0.12271,0,0,0,0,0,0,0,0,0
"ThreadfinHerring",0,0,0.0009999,0.0020002,0.19252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096504,0.011986,0,0,0.030003,0,0,0,0,0,0,0,0,0,0.0019998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manhaden",0,0,0,0.021802,0.38515,0,0,0.0649,0.15012,0.11469,0,0,0.0010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Menidia_silverside_",0,0.01,0.050095,0,0.0036893,0,0,0.0649,0.050905,0.0016998,0,0.0299,0.12731,0,0,0,0,0,0,0.0020373,0,0,0,0.015002,0,0,0,0.0019998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15342,0,0,0,0,0,0,0,0,0
"Catfish",0,0,0,0,0.00097087,0,0,0,0,0.00059994,0.000999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bumper",0,0,0,0,0.0036893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015947,0,0,0.076108,0,0,0,0,0,0,0,0,0,0.012999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CaridanShrimp",0,0.01,0.20418,0.030703,0,0,0.08,0.1938,0.16992,0.09759,0.1998,0.4083,0.10001,0.0019998,0.025003,0.12289,0,0,0,0.16277,0,0.0040082,0.027027,0.0040004,0.005,0.29533,0.04,0.17718,0,0,0,0,0,0.13809,0,0,0,0,0,0,0,0.35454,0.2,0,0,0,0,0,0,0,0
"Shrimp",0,0,0.10309,0.19952,0.0036893,0,0.054,0.2757,0.24712,0.16328,0,0.3187,0.19922,0,0.025003,0.12289,0,0,0,0.0020373,0.059523,0,0.0070372,0.0040004,0,0.0010001,0,0.0019998,0,0,0,0,0,0.061094,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"StoneCrab",0,0,0,0,0,0,0,0,0,0,0,0,0.0010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13809,0,0,0,0.002,0.005,0,0,0,0,0,0,0,0,0,0,0,0
"BlueCrab",0,0,0,0,0.0036893,0,0,0.0649,0.011001,0.0060994,0,0,0.0010001,0,0,0.0019998,0,0,0,0,0.0026409,0,0,0,0,0,0,0,0,0,0,0,0,0.27927,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprinodontids",0,0.15,0.14999,0.09911,0,0,0,0.05,0.080008,0,0,0.0498,0.050005,0,0,0,0,0,0,0,0,0.14995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poecilids",0,0.05,0.049995,0.049605,0,0,0,0.01,0.050005,0,0,0.01,0,0,0,0,0,0,0,0,0,0.019013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pigfish",0,0,0.049995,0.050005,0,0,0,0,0.050005,0,0,0,0.050005,0,0,0,0,0,0,0,0,0,0.029985,0.030003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gobies",0,0,0,0,0,0,0,0,0.020002,0.019998,0,0.02,0.050005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rays",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BenthicInvertebrates",0.4,0.399,0.15838,0,0,0.12012,0.365,0.006,0.0060006,0.0032997,0.1998,0,0,0.17618,0.49755,0.025997,0,0.43505,0.020981,0.16277,0,0.14203,0.44498,0.0040004,0.082,0.23622,0.382,0.17718,0.36364,0.8,0,0,0.115,0.16718,0.12251,0.124,0.322,0.442,0.58,0.5,0.6,0.051305,0.8,0,0.013299,0,0,0,0,0,0
"MacroZooplankton",0.4,0.093,0.051095,0,0,0.48148,0.487,0,0,0,0.3996,0.0139,0,0.46945,0,0,0.5,0.21698,0.0019833,0.48445,0,0.3,0.22101,0,0.53,0.018002,0.142,0.35336,0.45455,0.15,0.856,0.4,0.518,0,0.59761,0.001,0.065,0,0.027,0,0,0,0,0,0.027397,0,0,0,0,0,0
"MicroZoolplankton",0.1,0.069,0,0,0,0.36136,0,0,0,0,0.1998,0,0,0.35236,0,0,0.40002,0.21698,0.0019833,0.008042,0,0.28397,0,0,0.082,0.0030003,0.08,0.17718,0.18182,0.05,0.143,0.3,0.241,0,0.1992,0.051,0.065,0,0,0,0,0,0,0,0.013299,0.091,0.001,0,0,0,0
"Infauna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AttachedMicroalgae",0,0,0,0,0,0.012012,0,0,0,0,0,0,0,0,0,0,0,0.10904,0.55,0,0,0,0,0,0,0.14811,0.118,0,0,0,0,0,0,0,0.050797,0.206,0.011,0,0,0.5,0.4,0,0,0,0.13239,0,0.01,0,0,0,0
"SeaGrass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009999,0,0,0,0,0,0
"Phytoplankton",0,0,0,0,0,0.001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030003,0.003,0,0,0,0.001,0.2,0.011,0,0,0,0,0,0,0,0,0,0,0,0.27087,0.545,0.989,1,0,0,0
"Detritus",0.1,0.198,0,0,0,0.024024,0.001,0,0,0,0,0,0,0,0,0,0.099979,0.021961,0.28601,0,0,0,0,0,0.301,0.29533,0.235,0,0,0,0,0.1,0.115,0,0.02988,0.618,0.537,0.553,0.386,0,0,0,0,0,0.54175,0.364,0,0,0,0,0
"Import",0,0,0,0,0,0,0,0,0,0.45695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
